countryname,sender_combination,startyearUS,endyearUS,sanctions_success,us_length,eu_length,un_length,Year,infant_mortality_rate
South Africa,EU-US-UN,1963,1998,1,35,7,32,1980,68
South Africa,EU-US-UN,1963,1998,1,35,7,32,2015,33.600000000000001
Libya,EU-US,1978,2006,1,28,18,NA,1980,57
Libya,EU-US,1978,2006,1,28,18,NA,2015,11.4
Myanmar,US,1989,2012,0,23,NA,NA,1980,97.299999999999997
Myanmar,US,1989,2012,0,23,NA,NA,2015,39.5
Somalia,US-UN,1988,2011,1,23,NA,21,2015,85
Sudan,US,1997,2017,0,20,NA,NA,1980,87.900000000000006
Sudan,US,1997,2017,0,20,NA,NA,2015,47.600000000000001
Iraq,US,1984,2003,0,19,NA,NA,1980,55
Iraq,US,1984,2003,0,19,NA,NA,2015,26.5
Chile,US,1973,1990,1,17,NA,NA,1980,28.199999999999999
Chile,US,1973,1990,1,17,NA,NA,2015,7
Togo,EU-US,1992,2007,1,15,16,NA,1980,106.90000000000001
Togo,EU-US,1992,2007,1,15,16,NA,2015,52.299999999999997
Guatemala,US,1990,2005,1,15,NA,NA,1980,87.700000000000003
Guatemala,US,1990,2005,1,15,NA,NA,2015,24.300000000000001
Lebanon,US,1984,1997,1,13,NA,NA,1980,40.299999999999997
Lebanon,US,1984,1997,1,13,NA,NA,2015,7.0999999999999996
Haiti,US,1994,2006,1,12,NA,NA,1980,129.40000000000001
Haiti,US,1994,2006,1,12,NA,NA,2015,52.200000000000003
Burundi,EU-US-UN,1993,2005,1,12,8,1,1980,131.09999999999999
Burundi,EU-US-UN,1993,2005,1,12,8,1,2015,54.100000000000001
Iraq,US-UN,1991,2003,0,12,NA,13,1980,55
Iraq,US-UN,1991,2003,0,12,NA,13,2015,26.5
Pakistan,US,2005,2015,NA,10,NA,NA,1980,122.09999999999999
Pakistan,US,2005,2015,NA,10,NA,NA,2015,65.799999999999997
Cambodia,EU-US-UN,1997,2007,1,10,2,1,1980,117.3
Cambodia,EU-US-UN,1997,2007,1,10,2,1,2015,24.600000000000001
Azerbaijan,US,1992,2002,1,10,NA,NA,2015,27.899999999999999
Fiji,EU-US,2006,2015,1,9,6,NA,1980,35.299999999999997
Fiji,EU-US,2006,2015,1,9,6,NA,2015,19.100000000000001
Bolivia,US,2000,2009,0,9,NA,NA,1980,112.3
Bolivia,US,2000,2009,0,9,NA,NA,2015,30.600000000000001
San Marino,US,2000,2009,NA,9,NA,NA,2015,2.6000000000000001
Trinidad and Tobago,US,2000,2009,0,9,NA,NA,1980,34.299999999999997
Trinidad and Tobago,US,2000,2009,0,9,NA,NA,2015,18.199999999999999
Mali,US,2000,2009,0,9,NA,NA,1980,161.19999999999999
Mali,US,2000,2009,0,9,NA,NA,2015,74.5
South Africa,US,2000,2009,0,9,NA,NA,1980,68
