country_name,sender_combination,startyearUS,endyearUS,sanctions_success,us_length,eu_length,un_length,Year,Imports
South Africa,EU-US-UN,1963,1998,1,35,7,32,1980,22027807963.2283
South Africa,EU-US-UN,1963,1998,1,35,7,32,2015,99936709357.1333
Libya,EU-US,1978,2006,1,28,18,NA,2015,20680929626.4118
Myanmar,US,1989,2012,0,23,NA,NA,2015,20984282134.0064
Somalia,US-UN,1988,2011,1,23,NA,21,1980,534102368.090059
Sudan,US,1997,2017,0,20,NA,NA,1980,1726666666.66667
Sudan,US,1997,2017,0,20,NA,NA,2015,8111899876.37485
Iraq,US,1984,2003,0,19,NA,NA,1980,16856078564.172
Iraq,US,1984,2003,0,19,NA,NA,2015,73515935851.3974
Chile,US,1973,1990,1,17,NA,NA,1980,7679845876.33946
Chile,US,1973,1990,1,17,NA,NA,2015,72190113685.0302
Togo,EU-US,1992,2007,1,15,16,NA,1980,640383632.39991
Togo,EU-US,1992,2007,1,15,16,NA,2015,2417102029.61139
Guatemala,US,1990,2005,1,15,NA,NA,1980,1963300000
Guatemala,US,1990,2005,1,15,NA,NA,2015,18695372446.0469
Lebanon,US,1984,1997,1,13,NA,NA,2015,24315275422.2222
Haiti,US,1994,2006,1,12,NA,NA,2015,4409818543.52916
Burundi,EU-US-UN,1993,2005,1,12,8,1,1980,214223333.333333
Burundi,EU-US-UN,1993,2005,1,12,8,1,2015,832256768.774418
Iraq,US-UN,1991,2003,0,12,NA,13,1980,16856078564.172
Iraq,US-UN,1991,2003,0,12,NA,13,2015,73515935851.3974
Pakistan,US,2005,2015,NA,10,NA,NA,1980,5512929292.92929
Pakistan,US,2005,2015,NA,10,NA,NA,2015,46130526984.1145
Cambodia,EU-US-UN,1997,2007,1,10,2,1,2015,11939258368.9017
Azerbaijan,US,1992,2002,1,10,NA,NA,2015,18473453054.8507
Bolivia,US,2000,2009,0,9,NA,NA,1980,1019575856.44372
Bolivia,US,2000,2009,0,9,NA,NA,2015,12231374674.3849
San Marino,US,2000,2009,NA,9,NA,NA,2015,1419394771.21029
Mali,US,2000,2009,0,9,NA,NA,1980,514247471.123573
Mali,US,2000,2009,0,9,NA,NA,2015,5188968386.86761
South Africa,US,2000,2009,0,9,NA,NA,1980,22027807963.2283
South Africa,US,2000,2009,0,9,NA,NA,2015,99936709357.1333
Austria,US,2000,2009,NA,9,NA,NA,1980,28828883216.3369
Austria,US,2000,2009,NA,9,NA,NA,2015,188382123647.74
Finland,US,2000,2009,NA,9,NA,NA,1980,17233025183.2961
Finland,US,2000,2009,NA,9,NA,NA,2015,84341201313.6016
Saudi Arabia,US,1996,2005,NA,9,NA,NA,1980,44920491778.6395
Saudi Arabia,US,1996,2005,NA,9,NA,NA,2015,253554611626.667
Afghanistan,US,1993,2002,0,9,NA,NA,2015,8461684707.36777
Sri Lanka,US,2008,2016,1,8,NA,NA,1980,2205444646.098
Sri Lanka,US,2008,2016,1,8,NA,NA,2015,23008993742.6807
Uzbekistan,EU-US,2004,2012,1,8,4,NA,2015,12366335626.595
Paraguay,US,2001,2009,0,8,NA,NA,1980,891841269.84127
Paraguay,US,2001,2009,0,8,NA,NA,2015,11396506077.8765
Croatia,US,2001,2009,0,8,NA,NA,2015,22863391802.6333
Costa Rica,US,2001,2009,0,8,NA,NA,1980,1778891481.91365
Costa Rica,US,2001,2009,0,8,NA,NA,2015,17360350889.6379
Sweden,US,2001,2009,NA,8,NA,NA,1980,40810546363.7223
Sweden,US,2001,2009,NA,8,NA,NA,2015,201824555274.655
Switzerland,US,2001,2009,NA,8,NA,NA,1980,58659625231.2466
Switzerland,US,2001,2009,NA,8,NA,NA,2015,343410804203.077
Peru,US,2001,2009,0,8,NA,NA,1980,4011768778.12392
Peru,US,2001,2009,0,8,NA,NA,2015,45316857178.7464
Pakistan,US,1990,1998,0,8,NA,NA,1980,5512929292.92929
Pakistan,US,1990,1998,0,8,NA,NA,2015,46130526984.1145
Malta,US,2002,2009,0,7,NA,NA,1980,1080289709.17226
Malta,US,2002,2009,0,7,NA,NA,2015,15445760124.265
Ecuador,US,2002,2009,0,7,NA,NA,1980,3196675358.29975
Ecuador,US,2002,2009,0,7,NA,NA,2015,23815449000
Cyprus,US,2002,2009,0,7,NA,NA,1980,1358664013.267
